#NOTE: Randomly generated data!
subject;lat;lon
1;1.92;-1.3
2;-1.62;-1.64
3;0.61;0.52
4;0.48;0.32
5;0.56;0.5
6;0.43;-0.52
7;-0.4;-0.02
8;-0.35;-1.37
9;1.83;-1.42
10;1.74;2.02
11;1.82;-0.24
12;-0.37;-1.11
13;0.14;1.27
14;0.14;0.54
15;0.75;0.65
16;1.18;0.63
17;1.04;-0.65
18;-0.77;-0.43
19;-2.16;-1.31
20;-0.24;1.44
21;0.95;0.79
22;-0.77;-1.4
23;-0.11;-0.24
24;0.05;-0.48
25;-0.58;-0.04
26;-0.21;2.5
27;-2.33;-0.12
28;2.22;1.47
29;-0.5;-0.17
30;0.23;0.24
31;-0.23;-0.97
32;-2.13;1.18
33;0.29;-1.28
34;-0.72;1.57
35;0.4;-1.62
36;0.33;-0.81
37;-0.2;-0.61
38;-0.96;0.07
39;-1.78;-1.42
40;-1.01;1.08
41;-1.11;-0.61
42;-2.74;1.32
43;-0.71;0.88
44;1.2;0.18
45;-0.51;0.5
46;-1.45;-0.58
47;-1.08;0.1
48;-1.76;-1.24
49;0.43;0.94
50;-0.3;1.82
