Species	Lat	Long
Lacerta_agilis	48.733846	1.698618
Lacerta_agilis	48.854454	7.726906
Lacerta_agilis	56.188522	15.857421
Lacerta_agilis	49.627277	8.576347
Lacerta_agilis	48.831192	9.399062
Lacerta_agilis	53.357723	13.07623
Lacerta_agilis	51.436763	8.859696
Lacerta_agilis	49.222606	17.347246
Lacerta_agilis	55.82485	12.30819
Lacerta_agilis	50.147511	10.736003
Lacerta_agilis	58.752897	16.896224
Lacerta_agilis	50.840115	12.982986
Lacerta_agilis	56.199433	15.317228
Lacerta_agilis	49.850647	10.169359
Lacerta_agilis	49.752026	8.672174
Lacerta_agilis	55.679607	13.411344
Lacerta_agilis	50.417175	8.234317
Lacerta_agilis	48.849564	9.401626
Lacerta_agilis	48.954243	9.315311
Lacerta_agilis	45.661551	21.342347
Lacerta_agilis	50.214546	9.175199
Lacerta_agilis	49.388721	8.518427
Lacerta_agilis	48.848511	9.402703
Lacerta_agilis	55.82325	12.30573
Lacerta_agilis	55.85971	8.23963
Lacerta_agilis	49.183556	8.70482
Lacerta_agilis	58.936497	11.224324
Lacerta_agilis	58.752463	16.889828
Lacerta_agilis	58.75368	16.907776
Lacerta_agilis	58.752053	16.883692
Lacerta_agilis	55.657953	14.276152
Lacerta_agilis	46.975033	31.994583
Lacerta_agilis	58.753792	16.90898
Lacerta_agilis	58.752599	16.891867
Lacerta_agilis	48.8932	8.473537
Lacerta_agilis	58.752468	16.889657
Lacerta_agilis	58.934378	11.210759
Lacerta_agilis	51.916691	9.475279
Lacerta_agilis	58.7536	16.906707
Lacerta_agilis	49.735409	8.938429
Lacerta_agilis	49.088791	8.561954
Lacerta_agilis	58.767749	16.860929
Lacerta_agilis	55.660072	14.276664
Lacerta_agilis	55.42442	13.771137
Lacerta_agilis	51.555743	9.924235
Lacerta_agilis	58.661566	16.736943
Lacerta_agilis	57.246408	16.342736
Lacerta_agilis	55.933803	12.786799
Lacerta_agilis	58.935704	11.227279
Lacerta_agilis	49.433006	6.995929
Lacerta_agilis	56.78348	15.158397
Lacerta_agilis	58.752063	16.885686
Lacerta_agilis	55.98049	11.87597
Lacerta_agilis	53.672756	46.466809
Lacerta_agilis	55.928474	12.791749
Lacerta_agilis	55.424466	13.771919
Lacerta_agilis	55.65619	14.273745
Lacerta_agilis	50.234825	15.904171
Lacerta_agilis	51.341784	37.920052
Lacerta_agilis	52.221476	7.756319
Lacerta_agilis	52.222119	7.757285
Lacerta_agilis	49.423916	7.790807
Lacerta_agilis	57.394533	14.110404
Lacerta_agilis	48.674015	10.957026
Lacerta_agilis	48.013985	8.950853
Lacerta_agilis	58.935755	11.226839
Lacerta_agilis	49.95256	10.318931
Lacerta_agilis	48.697871	16.862861
Lacerta_agilis	53.57769	13.332581
Lacerta_agilis	48.892776	9.697222
Lacerta_agilis	49.234273	17.359452
Lacerta_agilis	54.59977	56.111218
Lacerta_agilis	49.030621	8.977338
Lacerta_agilis	49.920338	6.457686
Lacerta_agilis	58.936103	11.224342
Lacerta_agilis	49.964638	10.183897
Lacerta_agilis	48.85952	10.422421
Lacerta_agilis	48.505295	9.378748
Lacerta_agilis	58.210388	16.561862
Lacerta_agilis	51.826954	56.372023
Lacerta_agilis	49.407555	20.436569
Lacerta_agilis	47.798833	36.772694
Lacerta_agilis	51.064411	12.078218
Lacerta_agilis	56.680115	16.142501
Lacerta_agilis	49.8815	8.356819
Lacerta_agilis	50.42252	8.907638
Lacerta_agilis	50.21349	8.474415
Lacerta_agilis	48.097515	7.674036
Lacerta_agilis	49.375271	11.060393
Lacerta_agilis	49.373898	11.062683
Lacerta_bilineata	46.117817	8.165353
Lacerta_bilineata	46.06895	11.635159
Lacerta_bilineata	46.052676	10.853631
Lacerta_bilineata	45.029726	6.822888
Lacerta_bilineata	41.759305	14.93075
Lacerta_bilineata	43.96888	3.659336
Lacerta_bilineata	45.029968	6.965432
Lacerta_bilineata	42.868028	-2.637437
Lacerta_bilineata	48.184708	7.82279
Lacerta_bilineata	46.261091	11.349827
Lacerta_bilineata	45.938965	10.806853
Lacerta_bilineata	45.932497	10.842299
Lacerta_bilineata	45.091702	8.244237
Lacerta_bilineata	45.149666	7.618956
Lacerta_bilineata	42.787597	0.034022
Lacerta_bilineata	44.667769	8.756418
Lacerta_bilineata	44.224067	12.02888
Lacerta_bilineata	46.229621	11.039006
Lacerta_bilineata	45.928449	10.838206
Lacerta_bilineata	41.626442	14.928061
Lacerta_bilineata	45.834429	3.755493
Lacerta_bilineata	41.50227	14.066737
Lacerta_bilineata	42.078299	12.776164
Lacerta_bilineata	44.224732	12.028281
Lacerta_bilineata	45.125307	10.452871
Lacerta_bilineata	41.439046	14.032886
Lacerta_bilineata	49.758606	7.785134
Lacerta_bilineata	48.184708	7.82279
Lacerta_bilineata	45.898	10.66568
Lacerta_bilineata	41.940128	13.729999
Lacerta_bilineata	45.939438	10.80689
Lacerta_bilineata	45.893674	10.733325
Lacerta_bilineata	45.866137	10.814883
Lacerta_bilineata	41.532118	14.514033
Lacerta_bilineata	44.419501	4.909444
Lacerta_bilineata	41.502248	14.065118
Lacerta_media	41.441045	45.377275
Lacerta_media	41.394462	43.314678
Lacerta_media	35.588555	36.168251
Lacerta_schreiberi	42.822303	-9.187143
Lacerta_schreiberi	40.540268	-5.177626
Lacerta_schreiberi	40.525165	-5.105496
Lacerta_schreiberi	40.842159	-8.0981
Lacerta_schreiberi	43.410665	-5.783322
Lacerta_schreiberi	42.866729	-7.712239
Lacerta_schreiberi	40.937945	-8.109323
Lacerta_schreiberi	41.270216	-8.753513
Lacerta_schreiberi	40.724609	-8.197943
Lacerta_schreiberi	41.712419	-8.137931
Lacerta_schreiberi	43.383767	-7.447208
Lacerta_schreiberi	40.60716	-5.274832
Lacerta_schreiberi	40.386313	-5.253426
Lacerta_schreiberi	41.056119	-8.413808
