# Data from CRU TS v4.01 Observations
# https://crudata.uea.ac.uk/cru/data/hrg/
# Note: temperature is multiplied by 10 (ºC*10)
local year jan feb mar apr may jun jul aug sep oct nov dec
MADRID 1853 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 47
MADRID 1854 66 90 124 156 175 214 275 282 237 160 86 -9999
MADRID 1855 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
MADRID 1856 79 86 122 123 179 236 296 288 192 162 82 67
MADRID 1857 47 66 119 137 158 232 305 259 218 148 111 59
MADRID 1858 25 75 112 177 192 262 261 262 226 157 100 57
MADRID 1859 -9999 -9999 109 -9999 145 182 274 -9999 226 132 -9999 58
MADRID 1860 69 31 93 107 190 208 245 240 159 158 99 62
MADRID 1861 50 58 110 120 161 204 241 275 212 157 90 59
MADRID 1862 48 62 94 137 164 207 264 235 179 153 71 53
MADRID 1863 44 58 84 145 146 218 263 240 195 134 88 51
MADRID 1864 42 52 88 139 184 215 258 254 211 132 80 28
MADRID 1865 59 64 68 131 169 211 251 239 224 137 87 37
MADRID 1866 48 75 73 128 150 194 244 246 197 148 98 69
MADRID 1867 60 92 94 153 174 226 256 252 192 138 84 42
MADRID 1868 41 66 100 138 193 241 253 247 172 121 80 84
MADRID 1869 57 76 70 148 155 219 270 246 213 141 82 43
MADRID 1870 31 67 92 138 198 252 271 240 222 150 73 37
MADRID 1871 16 77 96 164 174 187 271 257 183 151 95 17
MADRID 1872 56 79 99 119 148 234 265 259 208 112 79 44
MADRID 1873 56 49 94 108 184 208 272 260 215 133 91 45
MADRID 1874 59 72 98 140 160 208 272 266 206 150 94 40
MADRID 1875 59 47 85 126 198 218 237 267 221 150 93 28
MADRID 1876 31 75 88 116 157 199 288 260 223 153 99 68
MADRID 1877 65 79 91 127 164 225 257 265 182 135 95 49
MADRID 1878 40 71 101 143 177 237 267 250 230 140 60 53
MADRID 1879 64 68 89 95 144 227 268 274 182 150 102 29
MADRID 1880 31 70 114 102 149 194 266 237 211 143 77 54
MADRID 1881 54 83 115 119 165 206 265 265 199 126 94 44
MADRID 1882 56 75 106 135 169 220 240 258 168 129 89 39
MADRID 1883 53 69 61 111 152 193 245 263 199 127 92 35
MADRID 1884 61 74 96 92 164 194 246 256 182 123 79 32
MADRID 1885 23 96 78 93 169 199 235 234 187 122 88 52
MADRID 1886 39 65 113 115 155 207 249 242 201 129 74 51
MADRID 1887 48 45 101 111 159 236 262 254 197 103 81 36
MADRID 1888 48 30 66 100 173 207 228 238 188 135 80 66
MADRID 1889 42 64 74 102 165 181 246 244 219 122 94 28
MADRID 1890 55 52 72 110 138 233 246 240 199 150 85 30
MADRID 1891 25 68 81 131 147 207 259 232 204 141 83 54
MADRID 1892 49 70 87 119 167 231 253 243 216 119 92 46
MADRID 1893 41 75 123 142 178 218 252 267 186 141 78 51
MADRID 1894 32 72 92 106 145 223 251 253 178 138 90 54
MADRID 1895 32 71 78 116 153 195 242 244 214 144 111 63
MADRID 1896 49 64 103 133 139 191 250 209 200 102 59 48
MADRID 1897 38 85 122 132 158 224 256 238 184 133 101 60
MADRID 1898 62 68 71 117 144 200 260 258 200 138 88 50
MADRID 1899 46 84 97 151 174 199 251 243 209 167 97 51
MADRID 1900 48 75 61 130 146 216 255 236 202 139 76 53
MADRID 1901 48 19 71 127 151 228 242 251 186 120 62 33
MADRID 1902 42 62 98 124 138 184 247 233 180 119 91 54
MADRID 1903 43 68 97 123 136 187 238 250 186 140 94 34
MADRID 1904 45 60 73 130 188 215 255 239 187 144 75 69
MADRID 1905 38 48 100 138 147 194 245 233 171 118 65 47
MADRID 1906 56 47 81 96 152 221 241 268 188 138 78 49
MADRID 1907 39 46 103 113 141 225 234 252 198 112 88 71
MADRID 1908 61 64 68 96 183 186 242 243 203 149 100 62
MADRID 1909 34 41 78 141 163 170 237 249 176 145 78 66
MADRID 1910 41 73 76 113 133 203 232 233 180 128 77 60
MADRID 1911 26 64 72 102 145 181 250 249 212 121 83 63
MADRID 1912 44 78 100 116 170 205 218 210 179 123 78 33
MADRID 1913 59 59 95 112 160 227 246 230 168 126 93 41
MADRID 1914 20 65 96 129 155 181 231 238 209 140 70 52
MADRID 1915 44 49 90 104 166 161 250 253 188 128 84 67
MADRID 1916 51 53 63 122 163 205 239 250 182 147 79 56
MADRID 1917 37 52 68 101 165 206 258 226 208 114 85 81
MADRID 1918 54 70 76 100 167 209 244 262 194 112 81 56
MADRID 1919 41 77 84 107 171 226 230 260 191 110 65 41
MADRID 1920 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
MADRID 1921 52 66 87 113 151 216 244 230 204 158 77 48
MADRID 1922 51 73 77 113 190 189 237 237 167 139 82 42
MADRID 1923 40 68 103 101 162 185 245 255 180 159 74 42
MADRID 1924 55 32 92 125 183 216 243 231 190 152 83 56
MADRID 1925 51 52 65 113 144 196 211 227 183 138 67 59
MADRID 1926 42 97 104 121 139 194 233 250 225 153 80 46
MADRID 1927 51 56 90 139 168 202 218 217 184 153 76 60
MADRID 1928 41 83 91 106 135 208 253 238 186 137 82 46
MADRID 1929 31 68 99 175 145 206 237 230 186 136 84 68
MADRID 1930 61 43 98 111 173 197 228 249 210 165 99 73
MADRID 1931 56 68 111 127 161 223 241 227 189 149 88 44
MADRID 1932 47 50 96 107 154 185 224 251 195 132 97 62
MADRID 1933 41 59 96 150 183 193 264 279 208 141 68 25
MADRID 1934 36 57 73 108 178 228 258 225 212 154 65 72
MADRID 1935 35 60 103 127 129 206 259 229 217 127 79 69
MADRID 1936 77 84 88 116 132 180 229 253 205 123 -9999 -9999
MADRID 1937 -9999 -9999 80 -9999 169 209 261 257 196 157 99 44
MADRID 1938 45 53 118 130 145 233 243 235 183 152 106 57
MADRID 1939 72 69 -9999 -9999 142 188 239 242 210 125 85 48
MADRID 1940 38 82 117 128 157 193 239 241 191 119 78 38
MADRID 1941 35 70 97 111 131 201 232 223 200 150 75 45
MADRID 1942 48 45 100 122 163 209 238 234 189 150 86 56
MADRID 1943 62 67 92 142 177 230 222 244 188 140 76 58
MADRID 1944 52 44 96 127 168 203 232 238 192 111 77 46
MADRID 1945 20 75 111 164 172 221 246 226 227 150 104 68
MADRID 1946 33 74 90 116 127 200 242 236 204 154 87 43
MADRID 1947 39 61 101 147 159 225 254 231 191 152 112 44
