# Species data from IUCN (http://www.iucnredlist.org/)
# Climate and altitude data from worldclim (http://worldclim.org/)
lon;lat;sp.rich;prec1;prec2;prec3;prec4;prec5;prec6;prec7;prec8;prec9;prec10;prec11;prec12;tavg1;tavg2;tavg3;tavg4;tavg5;tavg6;tavg7;tavg8;tavg9;tavg10;tavg11;tavg12;altitude
-82.5;82.5;1;1;1;2;4;8;13;28;29;18;10;4;2;-37.6782608032227;-38.655590057373;-38.08447265625;-28.50124168396;-13.9639749526978;-2.7698757648468;2.06645965576172;-0.772360265254974;-9.76863384246826;-22.6996898651123;-31.4388198852539;-35.4692535400391;317
-77.5;82.5;7;4;5;3;5;8;17;36;34;20;11;8;5;-35.1699981689453;-37.7775001525879;-38.3872489929199;-30.996000289917;-17.1762504577637;-6.63525009155273;-1.95099997520447;-5.41300010681152;-14.6272497177124;-26.5340003967285;-34.2719993591309;-35.5405006408691;1433
-72.5;82.5;6;4;4;4;6;6;12;31;28;19;8;6;5;-33.1614761352539;-35.5018463134766;-35.7614784240723;-28.271240234375;-14.7029027938843;-4.60105562210083;-0.414775729179382;-2.55989456176758;-12.0667543411255;-23.286808013916;-30.7691287994385;-32.4947242736816;950
-67.5;82.5;6;8;9;5;6;9;15;35;29;23;9;11;9;-34.288501739502;-36.3022499084473;-36.8952484130859;-29.9287490844727;-16.7742500305176;-7.12900018692017;-2.23274993896484;-4.79099988937378;-14.2252502441406;-25.9739990234375;-33.1112518310547;-34.3952484130859;1417
-62.5;82.5;6;7;7;7;10;12;12;30;23;25;13;10;8;-30.4137496948242;-31.355749130249;-31.0219993591309;-23.4869995117188;-11.4315004348755;-1.55675005912781;3.92374992370605;1.29550004005432;-7.39725017547607;-17.6552505493164;-24.5957508087158;-27.84375;187
-42.5;82.5;7;8;5;6;10;8;10;16;21;17;8;9;6;-28.8046054840088;-28.7368412017822;-28.2999992370605;-21.7000007629395;-10.4983549118042;-2.64967107772827;1.44111847877502;0.289802640676498;-7.88190793991089;-17.0608558654785;-22.2407894134521;-25.0638160705566;58
-37.5;82.5;6;13;9;8;11;9;13;18;26;19;8;12;9;-29.9417495727539;-30.3932495117188;-29.3775005340576;-23.611499786377;-12.1949996948242;-3.68950009346008;-0.252999991178513;-2.19200015068054;-10.4049997329712;-19.8414993286133;-25.5;-27.3470001220703;314
-32.5;82.5;6;16;13;12;16;14;18;23;34;25;13;17;11;-29.201000213623;-29.9600009918213;-29.0354995727539;-23.4950008392334;-11.3159999847412;-3.48699998855591;-2.55425000190735;-3.38925004005432;-10.3822498321533;-19.7532501220703;-25.4287490844727;-27.3155002593994;333
-27.5;82.5;6;21;17;15;17;14;17;27;36;26;18;21;15;-30.644250869751;-31.5607490539551;-31.0717506408691;-25.2447509765625;-12.6807498931885;-4.18475008010864;-3.19175004959106;-3.26725006103516;-11.3482503890991;-21.02174949646;-26.7245006561279;-28.83424949646;573
-22.5;82.5;6;11;11;11;16;10;9;21;25;21;12;15;10;-7.99125003814697;-8.19725036621094;-8.01074981689453;-6.18849992752075;-2.78474998474121;-0.239749997854233;0.700249969959259;0.321000009775162;-2.27325010299683;-5.10424995422363;-6.71225023269653;-7.44099998474121;1
