# Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Categories: 'BIODIVERSITY%20CONSERVATION','BIOLOGY','ECOLOGY','ENTOMOLOGY','EVOLUTIONARY%20BIOLOGY','ORNITHOLOGY','ZOOLOGY' Selected Category Scheme: WoS
# Copyright © 2017 Clarivate Analytics
Rank;Full.Journal.Title;JCR.Abbreviated.Title;Total.Cites;Journal.Impact.Factor;Impact.Factor.without.Journal.Self.Cites;Citable.Items;Eigenfactor.Score;X..Articles.in.Citable.Items
1;ZOOTAXA;ZOOTAXA;13690;0.972;0.577;2075;0.02671;95.37
2;eLife;ELIFE;15730;7.725;7.393;1097;0.1303;100
3;Ecology and Evolution;ECOL EVOL;4671;2.44;2.322;720;0.02223;98.61
4;Advances in Experimental Medicine and Biology;ADV EXP MED BIOL;14818;1.937;1.92;648;0.02954;99.85
5;ECOLOGICAL ENGINEERING;ECOL ENG;12165;2.914;2.403;579;0.01838;99.48
6;ZooKeys;ZOOKEYS;3217;1.031;0.838;570;0.01177;94.21
7;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;P ROY SOC B-BIOL SCI;44463;4.94;4.727;542;0.08831;94.83
8;AGRICULTURE ECOSYSTEMS & ENVIRONMENT;AGR ECOSYST ENVIRON;17655;4.099;3.554;486;0.02284;96.91
9;JOURNAL OF THEORETICAL BIOLOGY;J THEOR BIOL;19308;2.113;1.842;439;0.02223;99.77
10;JOURNAL OF EXPERIMENTAL BIOLOGY;J EXP BIOL;30619;3.32;2.969;425;0.03681;92
11;MARINE ECOLOGY PROGRESS SERIES;MAR ECOL PROG SER;34964;2.292;2.055;417;0.03227;98.8
12;Biogeosciences;BIOGEOSCIENCES;14039;3.851;3.386;416;0.04921;99.04
13;Ecosphere;ECOSPHERE;2879;2.49;2.287;397;0.01383;100
14;MOLECULAR ECOLOGY;MOL ECOL;36225;6.086;5.214;392;0.06307;96.17
15;PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;PHILOS T R SOC B;36908;5.846;5.678;383;0.06947;55.87
16;FASEB JOURNAL;FASEB J;42242;5.498;5.398;359;0.05759;95.54
17;MOLECULAR PHYLOGENETICS AND EVOLUTION;MOL PHYLOGENET EVOL;18020;4.419;3.812;340;0.02907;99.12
18;JOURNAL OF ECONOMIC ENTOMOLOGY;J ECON ENTOMOL;11739;1.824;1.47;337;0.00968;100
19;BIOLOGICAL CONSERVATION;BIOL CONSERV;24858;4.022;3.649;328;0.03526;93.9
20;ECOLOGY;ECOLOGY;58103;4.809;4.518;325;0.04523;100
21;GLOBAL CHANGE BIOLOGY;GLOBAL CHANGE BIOL;31762;8.502;7.921;311;0.07559;89.71
