Owner;color
Denmark;#3EBB0080
Multinational;#E6D61180
USA;#EFC2B380
Germany;#78CB0080
Norway;#E7CA2380
Russia;#E8C03480
United Kingdom/ESA;#EEBCA780
Algeria;#00A60080
Spain;#EBB26480
Israel;#BADC0080
Canada;#2AB40080
Uruguay;#EFBFAD80
Argentina;#04A70080
USA/Argentina;#EFC6BA80
China;#34B80080
ESA;#49BE0080
Japan;#C8DF0080
Luxembourg;#DEE40080
India;#8BD00080
France/Italy;#66C60080
Singapore;#EAB55280
Azerbaijan;#12AC0080
Belarus;#16AE0080
Brazil;#25B30080
Indonesia;#9ED50080
France/USA;#72CA0080
China/Brazil;#39B90080
United Kingdom;#EEBAA180
South Korea;#EBB25E80
Taiwan/USA;#ECB17680
Italy;#C1DD0080
Netherlands;#E7D21780
United Arab Emirates;#EEB89B80
Mexico;#E6E00680
France;#5AC30080
USA/Canada/Japan;#F0CDC680
USA/Japan/Brazil;#F1DBD980
Turkey/France;#EDB38880
Russia/Multinational;#E9BB4080
USA/Japan;#F1D6D380
Indonesia/Philippines/Thailand;#A5D70080
Turkey;#EDB28280
Germany/USA;#7ECD0080
France/Italy/Belgium/Spain/Greece;#6CC80080
Greece;#84CF0080
ESA/USA;#4FC00080
ESA/USA/Russia;#54C20080
USA/France;#F0D2CC80
Kazakhstan;#CFE10080
Laos;#D7E20080
Morocco/Germany;#E6DB0C80
Malaysia;#E6E60080
India/France;#98D40080
USA/Canada;#F0C9C080
Nigeria;#E7CE1D80
Egypt;#44BD0080
Sweden;#EBB16A80
Australia;#09A90080
Pakistan;#E8C62980
Russia/USA;#E9B84680
Peru;#E8C32E80
Ukraine;#EDB69480
Belgium;#1BB00080
Russia ;#E9BD3A80
India/Canada;#91D20080
Saudi Arabia;#EAB64C80
Iran;#ACD80080
France/Belgium/Sweden;#60C50080
Chile;#2FB60080
Singapore/Taiwan;#EAB35880
USA/United Kingdom/Italy;#F1E1DF80
Switzerland;#ECB17080
Thailand;#ECB17C80
Iraq;#B3DA0080
Bolivia;#20B10080
Austria;#0DAB0080
Turkmenistan/Monaco;#EDB48E80
Venezuela;#F2E6E680
Vietnam;#F2ECEC80
