"day";"time";"temp";"activ";"sex";"sp"
"1";346;840;36.33;0;"M";"sp1"
"2";346;850;36.34;0;"M";"sp1"
"3";346;900;36.35;0;"F";"sp1"
"4";346;910;36.42;0;"M";"sp1"
"5";346;920;36.55;0;"M";"sp1"
"6";346;NA;36.69;0;"M";"sp1"
"7";346;940;36.71;0;"F";"sp1"
"8";346;950;36.75;0;"F";"sp1"
"9";NA;1000;36.81;0;"M";"sp1"
"10";346;1010;36.88;0;"F";"sp1"
"11";346;NA;36.89;0;"F";"sp1"
"12";346;1030;36.91;0;"F";"sp1"
"13";346;1040;36.85;0;"M";"sp1"
"14";346;1050;36.89;0;"M";"sp1"
"15";346;1100;36.89;0;"M";"sp1"
"16";346;1110;36.67;0;"M";"sp1"
"17";NA;1120;36.5;0;"F";"sp1"
"18";346;1130;36.74;0;"F";"sp1"
"19";346;1140;36.77;0;"F";"sp1"
"20";346;1150;36.76;0;"M";"sp1"
"21";346;1200;36.78;0;"M";"sp1"
"22";346;1210;36.82;0;"M";"sp1"
"23";346;1220;36.89;0;"F";"sp1"
"24";346;1230;36.99;0;"M";"sp1"
"25";346;1240;36.92;0;"M";"sp1"
"26";346;1250;36.99;0;"F";"sp1"
"27";346;1300;NA;0;"F";"sp1"
"28";346;1310;36.94;0;"F";"sp1"
"29";346;1320;36.92;0;"M";"sp1"
"30";346;1330;36.97;0;"F";"sp1"
"31";346;1340;36.91;0;"M";"sp1"
"32";346;1350;36.79;0;"F";"sp1"
"33";346;1400;36.77;0;"F";"sp1"
"34";346;1410;36.69;0;"M";"sp1"
"35";346;1420;36.62;0;"F";"sp1"
"36";346;1430;36.54;0;"F";"sp1"
"37";346;1440;36.55;0;"F";"sp1"
"38";NA;NA;36.67;0;"M";"sp1"
"39";346;1500;36.69;0;"M";"sp1"
"40";346;1510;36.62;0;"F";"sp1"
"41";346;1520;36.64;0;"F";"sp1"
"42";346;1530;36.59;0;"M";"sp1"
"43";346;1540;36.65;0;"F";"sp1"
"44";NA;1550;36.75;0;"F";"sp1"
"45";346;1600;36.8;0;"M";"sp1"
"46";NA;1610;36.81;0;"M";"sp1"
"47";346;1620;36.87;0;"M";"sp1"
"48";346;1630;36.87;0;"F";"sp1"
"49";346;1640;36.89;0;"M";"sp1"
"50";346;1650;36.94;0;"M";"sp1"
"51";346;1700;36.98;0;"M";"sp1"
"52";346;1710;36.95;0;"M";"sp1"
"53";346;1720;37;0;"M";"sp1"
"54";346;1730;37.07;1;"F";"sp1"
"55";346;1740;37.05;0;"M";"sp1"
"56";346;1750;37;0;"M";"sp1"
"57";346;1800;36.95;0;"M";"sp1"
"58";346;1810;37;0;"F";"sp1"
"59";346;1820;36.94;0;"F";"sp1"
"60";346;1830;36.88;0;"F";"sp1"
"61";346;1840;36.93;0;"F";"sp1"
"62";346;1850;NA;0;"F";"sp1"
"63";346;1900;36.97;0;"F";"sp1"
"64";346;1910;36.85;0;"F";"sp1"
"65";346;1920;36.92;0;"M";"sp1"
"66";NA;1930;36.99;0;"F";"sp1"
"67";346;1940;37.01;0;"F";"sp1"
"68";346;1950;37.1;1;"M";"sp1"
"69";346;2000;37.09;0;"F";"sp1"
"70";346;2010;37.02;0;"M";"sp1"
"71";346;2020;36.96;0;"F";"sp1"
"72";346;NA;36.84;0;"F";"sp1"
"73";NA;2040;NA;0;"M";"sp1"
"74";346;NA;NA;0;"F";"sp1"
"75";346;2100;36.85;0;"M";"sp1"
"76";346;2110;36.87;0;"M";"sp1"
"77";346;2120;36.89;0;"M";"sp1"
"78";346;2130;36.86;0;"M";"sp1"
"79";346;2140;36.91;0;"M";"sp1"
"80";346;2150;37.53;1;"M";"sp1"
"81";346;2200;37.23;0;"F";"sp1"
"82";346;2210;37.2;0;"M";"sp1"
"83";346;2230;37.25;1;"F";"sp1"
"84";346;2240;37.2;0;"F";"sp1"
"85";346;2250;37.21;0;"M";"sp1"
"86";346;2300;37.24;1;"F";"sp1"
"87";346;2310;37.1;0;"M";"sp1"
"88";NA;2320;37.2;0;"M";"sp1"
"89";346;2330;37.18;0;"F";"sp1"
"90";346;2340;36.93;0;"M";"sp1"
"91";346;NA;36.83;0;"M";"sp1"
