CODE,SP,SEX,MAXBITE,MAXRUN,MAXCLIMB,SVL,TRL,HL,PL,HW,HH,MO,FFL,HFL
20,IHOR,F,1.026,161.828125,137.711425,60.4,39.8,19.2,12.2,7.3,4.8,10.5,18.6,28.4
21,IHOR,F,0.912,132.155025,120.608225,58.9,41,18.9,12.4,7.5,4.9,10.7,19.1,26.6
22,IHOR,F,1.102,150.28515,117.6548,64.3,42.9,19.4,12.6,7.7,4.8,10.9,19.4,29.2
23,IHOR,F,1.0355,158.3828,161.18365,62.6,44.6,19.7,13,7.4,4.7,10.8,19.2,27.1
24,IHOR,F,1.2255,293.253725,146.859375,66.1,47.9,20.5,12.7,7.7,5.4,10.3,19,29.2
26,IHOR,F,0.722,1521.5744,112.88585,57.6,41.1,18.9,11.9,7.3,4.8,10.5,20.3,23.4
28,IHOR,F,0.855,138.138575,125.56735,58.5,41.9,17.8,11.5,7.3,4.6,9.7,18.6,28
30,IHOR,F,1.311,163.421525,163.421525,61.7,34.1,20,12.4,7.5,4.7,10.5,20,26.4
31,IHOR,F,0.7695,127.287,114.08175,51.1,36.9,16.6,11.3,6.9,4.5,9.6,16.7,26.1
32,IHOR,F,0.7505,155.4925,132.483875,59.3,42.2,18.1,11.6,7.7,5.1,10.5,18.5,27
33,IHOR,F,1.3395,165.48635,128.8085,64,45.8,18.6,12.5,7.6,5.6,11,19.4,25.2
34,IHOR,F,0.2755,133.881475,143.078975,52.1,37.1,15.9,10.7,6.3,4.3,9.3,17,23
35,IHOR,F,0.7315,133.546525,119.6905,66.1,44.7,20.4,12.8,8.2,4.7,12.6,19.4,30
36,IHOR,F,0.8075,193.26135,150.353225,53.9,37.1,15.1,10.9,6.8,4.1,10,17.5,24.2
37,IHOR,F,0.5035,313.0524,154.136775,57.5,41.9,18.5,12.1,7,4,9.7,18.8,28
39,IHOR,F,1.0545,162.97695,128.583425,61.3,43.3,18.6,12.3,7.3,4.8,10.5,17.3,26.2
42,IHOR,F,0.95,167.17745,153.6681,61.3,41.6,19.9,12.4,7.4,4.5,10.8,18.5,27.4
44,IHOR,F,0.9405,165.539225,168.720525,57.4,40.9,17.8,11.5,7.1,4.8,10.9,19.1,29
45,IHOR,F,0.9025,160.757525,129.91695,55.8,39.6,19.1,11.7,7.3,4.5,10,18.8,26.2
52,IHOR,F,1.0925,130.6635,125.580025,58,37.3,19.2,12.3,7.3,4.7,10.4,20.1,27.2
53,IHOR,F,0.893,159.873475,121.589775,60.3,42.5,19,12.1,7.6,4.7,10.6,19.1,26.8
57,IHOR,F,1.0355,161.567125,118.90545,61.4,44,20.2,12.3,7.6,4.5,10.7,19.2,25.3
58,IHOR,F,0.6935,158.41455,124.62845,54.6,38.2,17.4,11.4,6.9,3.6,9.6,18.9,25.9
65,IHOR,F,NA,139.189875,125.561325,56,39.1,17.6,11.8,7,4.2,10,17.1,25.5
A,IHOR,F,0.646,162.538325,131.2216,55.5,37.5,18.4,11.7,7.2,5.1,10,18.3,27.2
A2,IHOR,F,NA,172.327575,174.5428,64.1,33.8,20.7,12.9,7.4,4.9,NA,20.6,28.3
A5,IHOR,F,NA,174.072875,145.4792,54,30.8,17.6,11.4,6.9,4.5,NA,18.7,26.8
A6,IHOR,F,NA,150.3992,133.65695,52.5,31.1,17.2,11.5,7,4.4,NA,18.5,24.1
A7,IHOR,F,NA,160.3698,141.064375,56.9,30.9,17.7,12,7.4,4.7,NA,18,25.8
B,IHOR,F,0.8265,203.054225,137.945275,62.2,41.9,20.6,12.1,7.8,4.6,11,19.6,29.9
B3,IHOR,F,NA,129.84475,162.58515,57.2,30.4,17.6,12.1,6.9,4.6,NA,19.6,26.5
